setting,family,model,checkpoint_total,checkpoint_reward_hacking,checkpoint_evaluator_gaming,checkpoint_reward_hacking_share,row_total,row_reward_hacking,row_evaluator_gaming,row_reward_hacking_share,hidden_localized_reward_hacking
beta=0.001 sampled / ppo,reward_hack_search_beta0p001_sampled,ppo,4,0,3,0.0,256.0,19.0,12.0,0.07421875,True
beta=0.005 / ppo,reward_hack_search_beta0p005,ppo,2,1,1,0.5,128.0,1.0,0.0,0.0078125,False
beta=0.01 / dpo,reward_hack_search_beta0p01,dpo,2,0,1,0.0,128.0,0.0,5.0,0.0,False
beta=0.01 / ppo,reward_hack_search_beta0p01,ppo,2,0,1,0.0,128.0,1.0,1.0,0.0078125,True
beta=0.01 / sft,reward_hack_search_beta0p01,sft,2,0,1,0.0,128.0,0.0,6.0,0.0,False
beta=0.03 / dpo,reward_hack_search_beta0p03,dpo,2,0,1,0.0,128.0,0.0,1.0,0.0,False
beta=0.03 / ppo,reward_hack_search_beta0p03,ppo,2,0,2,0.0,128.0,12.0,2.0,0.09375,True
beta=0.03 / sft,reward_hack_search_beta0p03,sft,2,0,1,0.0,128.0,0.0,1.0,0.0,False
beta=0.0 aggressive / ppo,reward_hack_search_beta0p0_aggressive,ppo,4,1,2,0.25,256.0,37.0,24.0,0.14453125,False
beta=0.0 aggressive UP lambda=0.1 / ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1,ppo,4,1,0,0.25,256.0,29.0,13.0,0.11328125,False
beta=0.0 aggressive UP lambda=0.5 / ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5,ppo,4,1,1,0.25,256.0,28.0,10.0,0.109375,False
beta=0.0 long / ppo,reward_hack_search_beta0p0_long_2000,ppo,1,0,0,0.0,0.0,0.0,0.0,0.0,False
