unit,threshold,total,changed_from_default,evaluator_gaming,stable_alignment,reward_hacking,optimization_collapse,proxy_under_alignment,conservative_stagnation,mixed_or_ambiguous,reward_hacking_share,conservative_stagnation_share
checkpoint,0.0,31,0,14,7,4,5,6,0,9,0.12903225806451613,0.0
checkpoint,1e-08,31,0,14,7,4,5,6,0,9,0.12903225806451613,0.0
checkpoint,0.001,31,0,14,7,4,5,6,0,9,0.12903225806451613,0.0
checkpoint,0.01,31,2,13,7,4,5,5,1,9,0.12903225806451613,0.03225806451612903
checkpoint,0.05,31,18,5,4,3,1,1,6,16,0.0967741935483871,0.1935483870967742
checkpoint,0.1,31,28,1,1,0,1,0,18,11,0.0,0.5806451612903226
checkpoint,0.2,31,30,0,0,0,0,0,24,7,0.0,0.7741935483870968
checkpoint,0.25,31,31,0,0,0,0,0,27,4,0.0,0.8709677419354839
checkpoint,0.5,31,31,0,0,0,0,0,30,1,0.0,0.967741935483871
row_level,0.0,1920,0,75,100,127,99,122,748,724,0.06614583333333333,0.38958333333333334
row_level,1e-08,1920,0,75,100,127,99,122,748,724,0.06614583333333333,0.38958333333333334
row_level,0.001,1920,3,75,98,127,99,122,749,725,0.06614583333333333,0.39010416666666664
row_level,0.01,1920,24,75,96,123,99,120,762,720,0.0640625,0.396875
row_level,0.05,1920,123,75,83,115,92,110,823,697,0.059895833333333336,0.42864583333333334
row_level,0.1,1920,210,75,72,105,79,101,867,696,0.0546875,0.4515625
row_level,0.2,1920,387,75,56,86,61,81,971,665,0.04479166666666667,0.5057291666666667
row_level,0.25,1920,472,75,46,74,52,75,1019,654,0.03854166666666667,0.5307291666666667
row_level,0.5,1920,742,75,15,35,24,42,1159,645,0.018229166666666668,0.6036458333333333
