unit,threshold,default_label,threshold_label,count
checkpoint,0.0,stable_alignment,stable_alignment,7
checkpoint,0.0,reward_hacking,reward_hacking,4
checkpoint,0.0,optimization_collapse,optimization_collapse,5
checkpoint,0.0,proxy_under_alignment,proxy_under_alignment,6
checkpoint,0.0,mixed_or_ambiguous,mixed_or_ambiguous,9
checkpoint,1e-08,stable_alignment,stable_alignment,7
checkpoint,1e-08,reward_hacking,reward_hacking,4
checkpoint,1e-08,optimization_collapse,optimization_collapse,5
checkpoint,1e-08,proxy_under_alignment,proxy_under_alignment,6
checkpoint,1e-08,mixed_or_ambiguous,mixed_or_ambiguous,9
checkpoint,0.001,stable_alignment,stable_alignment,7
checkpoint,0.001,reward_hacking,reward_hacking,4
checkpoint,0.001,optimization_collapse,optimization_collapse,5
checkpoint,0.001,proxy_under_alignment,proxy_under_alignment,6
checkpoint,0.001,mixed_or_ambiguous,mixed_or_ambiguous,9
checkpoint,0.01,stable_alignment,stable_alignment,7
checkpoint,0.01,reward_hacking,reward_hacking,4
checkpoint,0.01,optimization_collapse,optimization_collapse,5
checkpoint,0.01,proxy_under_alignment,proxy_under_alignment,5
checkpoint,0.01,proxy_under_alignment,mixed_or_ambiguous,1
checkpoint,0.01,mixed_or_ambiguous,conservative_stagnation,1
checkpoint,0.01,mixed_or_ambiguous,mixed_or_ambiguous,8
checkpoint,0.05,stable_alignment,stable_alignment,4
checkpoint,0.05,stable_alignment,mixed_or_ambiguous,3
checkpoint,0.05,reward_hacking,reward_hacking,3
checkpoint,0.05,reward_hacking,mixed_or_ambiguous,1
checkpoint,0.05,optimization_collapse,optimization_collapse,1
checkpoint,0.05,optimization_collapse,conservative_stagnation,1
checkpoint,0.05,optimization_collapse,mixed_or_ambiguous,3
checkpoint,0.05,proxy_under_alignment,proxy_under_alignment,1
checkpoint,0.05,proxy_under_alignment,mixed_or_ambiguous,5
checkpoint,0.05,mixed_or_ambiguous,conservative_stagnation,5
checkpoint,0.05,mixed_or_ambiguous,mixed_or_ambiguous,4
checkpoint,0.1,stable_alignment,stable_alignment,1
checkpoint,0.1,stable_alignment,conservative_stagnation,1
checkpoint,0.1,stable_alignment,mixed_or_ambiguous,5
checkpoint,0.1,reward_hacking,conservative_stagnation,2
checkpoint,0.1,reward_hacking,mixed_or_ambiguous,2
checkpoint,0.1,optimization_collapse,optimization_collapse,1
checkpoint,0.1,optimization_collapse,conservative_stagnation,3
checkpoint,0.1,optimization_collapse,mixed_or_ambiguous,1
checkpoint,0.1,proxy_under_alignment,conservative_stagnation,4
checkpoint,0.1,proxy_under_alignment,mixed_or_ambiguous,2
checkpoint,0.1,mixed_or_ambiguous,conservative_stagnation,8
checkpoint,0.1,mixed_or_ambiguous,mixed_or_ambiguous,1
checkpoint,0.2,stable_alignment,conservative_stagnation,5
checkpoint,0.2,stable_alignment,mixed_or_ambiguous,2
checkpoint,0.2,reward_hacking,conservative_stagnation,2
checkpoint,0.2,reward_hacking,mixed_or_ambiguous,2
checkpoint,0.2,optimization_collapse,conservative_stagnation,3
checkpoint,0.2,optimization_collapse,mixed_or_ambiguous,2
checkpoint,0.2,proxy_under_alignment,conservative_stagnation,6
checkpoint,0.2,mixed_or_ambiguous,conservative_stagnation,8
checkpoint,0.2,mixed_or_ambiguous,mixed_or_ambiguous,1
checkpoint,0.25,stable_alignment,conservative_stagnation,6
checkpoint,0.25,stable_alignment,mixed_or_ambiguous,1
checkpoint,0.25,reward_hacking,conservative_stagnation,2
checkpoint,0.25,reward_hacking,mixed_or_ambiguous,2
checkpoint,0.25,optimization_collapse,conservative_stagnation,4
checkpoint,0.25,optimization_collapse,mixed_or_ambiguous,1
checkpoint,0.25,proxy_under_alignment,conservative_stagnation,6
checkpoint,0.25,mixed_or_ambiguous,conservative_stagnation,9
checkpoint,0.5,stable_alignment,conservative_stagnation,6
checkpoint,0.5,stable_alignment,mixed_or_ambiguous,1
checkpoint,0.5,reward_hacking,conservative_stagnation,4
checkpoint,0.5,optimization_collapse,conservative_stagnation,5
checkpoint,0.5,proxy_under_alignment,conservative_stagnation,6
checkpoint,0.5,mixed_or_ambiguous,conservative_stagnation,9
row_level,0.0,stable_alignment,stable_alignment,100
row_level,0.0,reward_hacking,reward_hacking,127
row_level,0.0,optimization_collapse,optimization_collapse,99
row_level,0.0,proxy_under_alignment,proxy_under_alignment,122
row_level,0.0,conservative_stagnation,conservative_stagnation,748
row_level,0.0,mixed_or_ambiguous,mixed_or_ambiguous,724
row_level,1e-08,stable_alignment,stable_alignment,100
row_level,1e-08,reward_hacking,reward_hacking,127
row_level,1e-08,optimization_collapse,optimization_collapse,99
row_level,1e-08,proxy_under_alignment,proxy_under_alignment,122
row_level,1e-08,conservative_stagnation,conservative_stagnation,748
row_level,1e-08,mixed_or_ambiguous,mixed_or_ambiguous,724
row_level,0.001,stable_alignment,stable_alignment,98
row_level,0.001,stable_alignment,mixed_or_ambiguous,2
row_level,0.001,reward_hacking,reward_hacking,127
row_level,0.001,optimization_collapse,optimization_collapse,99
row_level,0.001,proxy_under_alignment,proxy_under_alignment,122
row_level,0.001,conservative_stagnation,conservative_stagnation,748
row_level,0.001,mixed_or_ambiguous,conservative_stagnation,1
row_level,0.001,mixed_or_ambiguous,mixed_or_ambiguous,723
row_level,0.01,stable_alignment,stable_alignment,96
row_level,0.01,stable_alignment,mixed_or_ambiguous,4
row_level,0.01,reward_hacking,reward_hacking,123
row_level,0.01,reward_hacking,mixed_or_ambiguous,4
row_level,0.01,optimization_collapse,optimization_collapse,99
row_level,0.01,proxy_under_alignment,proxy_under_alignment,120
row_level,0.01,proxy_under_alignment,mixed_or_ambiguous,2
row_level,0.01,conservative_stagnation,conservative_stagnation,748
row_level,0.01,mixed_or_ambiguous,conservative_stagnation,14
row_level,0.01,mixed_or_ambiguous,mixed_or_ambiguous,710
row_level,0.05,stable_alignment,stable_alignment,83
row_level,0.05,stable_alignment,mixed_or_ambiguous,17
row_level,0.05,reward_hacking,reward_hacking,115
row_level,0.05,reward_hacking,mixed_or_ambiguous,12
row_level,0.05,optimization_collapse,optimization_collapse,92
row_level,0.05,optimization_collapse,mixed_or_ambiguous,7
row_level,0.05,proxy_under_alignment,proxy_under_alignment,110
row_level,0.05,proxy_under_alignment,mixed_or_ambiguous,12
row_level,0.05,conservative_stagnation,conservative_stagnation,748
row_level,0.05,mixed_or_ambiguous,conservative_stagnation,75
row_level,0.05,mixed_or_ambiguous,mixed_or_ambiguous,649
row_level,0.1,stable_alignment,stable_alignment,72
row_level,0.1,stable_alignment,mixed_or_ambiguous,28
row_level,0.1,reward_hacking,reward_hacking,105
row_level,0.1,reward_hacking,mixed_or_ambiguous,22
row_level,0.1,optimization_collapse,optimization_collapse,79
row_level,0.1,optimization_collapse,mixed_or_ambiguous,20
row_level,0.1,proxy_under_alignment,proxy_under_alignment,101
row_level,0.1,proxy_under_alignment,mixed_or_ambiguous,21
row_level,0.1,conservative_stagnation,conservative_stagnation,748
row_level,0.1,mixed_or_ambiguous,conservative_stagnation,119
row_level,0.1,mixed_or_ambiguous,mixed_or_ambiguous,605
row_level,0.2,stable_alignment,stable_alignment,56
row_level,0.2,stable_alignment,mixed_or_ambiguous,44
row_level,0.2,reward_hacking,reward_hacking,86
row_level,0.2,reward_hacking,mixed_or_ambiguous,41
row_level,0.2,optimization_collapse,optimization_collapse,61
row_level,0.2,optimization_collapse,mixed_or_ambiguous,38
row_level,0.2,proxy_under_alignment,proxy_under_alignment,81
row_level,0.2,proxy_under_alignment,mixed_or_ambiguous,41
row_level,0.2,conservative_stagnation,conservative_stagnation,748
row_level,0.2,mixed_or_ambiguous,conservative_stagnation,223
row_level,0.2,mixed_or_ambiguous,mixed_or_ambiguous,501
row_level,0.25,stable_alignment,stable_alignment,46
row_level,0.25,stable_alignment,mixed_or_ambiguous,54
row_level,0.25,reward_hacking,reward_hacking,74
row_level,0.25,reward_hacking,mixed_or_ambiguous,53
row_level,0.25,optimization_collapse,optimization_collapse,52
row_level,0.25,optimization_collapse,mixed_or_ambiguous,47
row_level,0.25,proxy_under_alignment,proxy_under_alignment,75
row_level,0.25,proxy_under_alignment,mixed_or_ambiguous,47
row_level,0.25,conservative_stagnation,conservative_stagnation,748
row_level,0.25,mixed_or_ambiguous,conservative_stagnation,271
row_level,0.25,mixed_or_ambiguous,mixed_or_ambiguous,453
row_level,0.5,stable_alignment,stable_alignment,15
row_level,0.5,stable_alignment,mixed_or_ambiguous,85
row_level,0.5,reward_hacking,reward_hacking,35
row_level,0.5,reward_hacking,mixed_or_ambiguous,92
row_level,0.5,optimization_collapse,optimization_collapse,24
row_level,0.5,optimization_collapse,conservative_stagnation,1
row_level,0.5,optimization_collapse,mixed_or_ambiguous,74
row_level,0.5,proxy_under_alignment,proxy_under_alignment,42
row_level,0.5,proxy_under_alignment,mixed_or_ambiguous,80
row_level,0.5,conservative_stagnation,conservative_stagnation,748
row_level,0.5,mixed_or_ambiguous,conservative_stagnation,410
row_level,0.5,mixed_or_ambiguous,mixed_or_ambiguous,314
