feature_set,model,feature,importance,abs_importance
pre_state_only,xgboost,prev_R_dagger,0.2008453905582428,0.2008453905582428
pre_state_only,xgboost,prev_generated_word_count,0.10904914140701294,0.10904914140701294
pre_state_only,xgboost,prev_max_3gram_repetition,0.10446105152368546,0.10446105152368546
pre_state_only,xgboost,prev_mean_kl_sft,0.10265810042619705,0.10265810042619705
pre_state_only,xgboost,prev_R_phi,0.10261289775371552,0.10261289775371552
pre_state_only,xgboost,prev_R_dagger_2,0.08726615458726883,0.08726615458726883
pre_state_only,xgboost,prev_distinct_1_ratio,0.08175861090421677,0.08175861090421677
pre_state_only,xgboost,prev_distinct_2_ratio,0.08149753510951996,0.08149753510951996
pre_state_only,xgboost,prev_u,0.07176130264997482,0.07176130264997482
pre_state_only,xgboost,prev_judge_disagreement_abs,0.05808987468481064,0.05808987468481064
transition_diagnostics,xgboost,delta_R_dagger,0.6767067313194275,0.6767067313194275
transition_diagnostics,xgboost,delta_R_phi,0.170424684882164,0.170424684882164
transition_diagnostics,xgboost,to_distinct_1_ratio,0.06639914959669113,0.06639914959669113
transition_diagnostics,xgboost,delta_u,0.046600598841905594,0.046600598841905594
transition_diagnostics,xgboost,delta_R_dagger_2,0.03275628015398979,0.03275628015398979
transition_diagnostics,xgboost,to_distinct_2_ratio,0.005908630788326263,0.005908630788326263
transition_diagnostics,xgboost,to_generated_word_count,0.0007014120928943157,0.0007014120928943157
transition_diagnostics,xgboost,delta_kl,0.0005025400314480066,0.0005025400314480066
transition_diagnostics,xgboost,to_max_3gram_repetition,0.0,0.0
