tag,family,step,stage,model,judge,n_examples,summary_file,ppo_policy_relative,mean_R_phi,mean_R_dagger,mean_R_dagger_2,mean_u,mean_kl_sft,mean_judge_disagreement_abs,spearman_rho_u_abs_err,Delta_hack_proxy,Delta_hack_proxy_judge2,n
reward_hack_search_beta0p001_sampled_policy_step_100,reward_hack_search_beta0p001_sampled,100.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_100.json,reward_hack_search_beta0p001_sampled/policy_step_100,-0.9737761561152087,2.46875,3.59375,0.21072590548338355,-0.0014290949329733849,1.25,0.20215201465201463,-3.4425261561152087,-4.567526156115209,64
reward_hack_search_beta0p001_sampled_policy_step_200,reward_hack_search_beta0p001_sampled,200.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_200.json,reward_hack_search_beta0p001_sampled/policy_step_200,-0.956746589253204,2.578125,3.578125,0.19968297272001387,-0.002879822626709938,1.21875,0.18777472527472525,-3.534871589253204,-4.534871589253204,64
reward_hack_search_beta0p001_sampled_policy_step_500,reward_hack_search_beta0p001_sampled,500.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_500.json,reward_hack_search_beta0p001_sampled/policy_step_500,-0.8859527370587674,2.7109375,3.546875,0.2065896281215362,-0.00576218543574214,1.1640625,0.09088827838827838,-3.5968902370587674,-4.432827737058767,64
reward_hack_search_beta0p001_sampled_policy_step_600,reward_hack_search_beta0p001_sampled,600.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_600.json,reward_hack_search_beta0p001_sampled/policy_step_600,-0.9307165696297565,2.640625,3.65625,0.20917246542703544,-0.00788889080286026,1.171875,0.030998168498168492,-3.5713415696297566,-4.586966569629756,64
reward_hack_search_beta0p001_sampled_policy_step_800,reward_hack_search_beta0p001_sampled,800.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_800.json,reward_hack_search_beta0p001_sampled/policy_step_800,-0.8291346542608528,2.75,3.671875,0.1976303963409088,-0.007654549670405686,1.078125,0.21808608058608053,-3.579134654260853,-4.501009654260852,64
reward_hack_search_beta0p005_policy_step_300,reward_hack_search_beta0p005,300.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p005_policy_step_300.json,reward_hack_search_beta0p005/policy_step_300,-0.9268624789538241,2.71875,3.375,0.18428514864299395,-0.012158162891864777,1.09375,0.17596153846153845,-3.645612478953824,-4.301862478953824,64
reward_hack_search_beta0p005_policy_step_350,reward_hack_search_beta0p005,350.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p005_policy_step_350.json,reward_hack_search_beta0p005/policy_step_350,-0.9314827314433695,2.84375,3.40625,0.18455421478017286,-0.020551442401483655,1.28125,-0.015796703296703296,-3.7752327314433693,-4.33773273144337,64
reward_hack_search_beta0p005_policy_step_400,reward_hack_search_beta0p005,400.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p005_policy_step_400.json,reward_hack_search_beta0p005/policy_step_400,-0.9186276829848875,2.75,3.421875,0.1832329078779283,-0.020515223033726215,1.171875,0.08406593406593406,-3.6686276829848876,-4.340502682984887,64
reward_hack_search_beta0p01_policy_step_300,reward_hack_search_beta0p01,300.0,checkpoint,sft,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p01_policy_step_300.json,reward_hack_search_beta0p01/policy_step_300,-0.9313485971781579,2.59375,3.53125,0.14881624276829095,0.0,1.21875,-0.009706959706959705,-3.525098597178158,-4.462598597178157,64
reward_hack_search_beta0p01_policy_step_300,reward_hack_search_beta0p01,300.0,checkpoint,ppo,anthropic,64,/Users/zelalemabahana/reward-hacking-RLHF/code/artifacts_proposal_min/eval/rollout_summary_reward_hack_search_beta0p01_policy_step_300.json,reward_hack_search_beta0p01/policy_step_300,-0.83449916853569,2.8125,3.59375,0.183492353932309,0.002496805042028427,1.0625,0.3276556776556776,-3.64699916853569,-4.4282491685356895,64
