family,failure_mode,n_transitions,family_total,share
reward_hack_search_beta0p001_sampled,stable_alignment,3,4,0.75
reward_hack_search_beta0p001_sampled,optimization_collapse,1,4,0.25
reward_hack_search_beta0p005,proxy_under_alignment,1,2,0.5
reward_hack_search_beta0p005,reward_hacking,1,2,0.5
reward_hack_search_beta0p01,mixed_or_ambiguous,4,6,0.6666666666666666
reward_hack_search_beta0p01,optimization_collapse,1,6,0.16666666666666666
reward_hack_search_beta0p01,proxy_under_alignment,1,6,0.16666666666666666
reward_hack_search_beta0p03,mixed_or_ambiguous,4,6,0.6666666666666666
reward_hack_search_beta0p03,optimization_collapse,1,6,0.16666666666666666
reward_hack_search_beta0p03,proxy_under_alignment,1,6,0.16666666666666666
reward_hack_search_beta0p0_aggressive,proxy_under_alignment,2,4,0.5
reward_hack_search_beta0p0_aggressive,reward_hacking,1,4,0.25
reward_hack_search_beta0p0_aggressive,stable_alignment,1,4,0.25
reward_hack_search_beta0p0_aggressive_up_lambda0p1,stable_alignment,2,4,0.5
reward_hack_search_beta0p0_aggressive_up_lambda0p1,optimization_collapse,1,4,0.25
reward_hack_search_beta0p0_aggressive_up_lambda0p1,reward_hacking,1,4,0.25
reward_hack_search_beta0p0_aggressive_up_lambda0p5,optimization_collapse,1,4,0.25
reward_hack_search_beta0p0_aggressive_up_lambda0p5,proxy_under_alignment,1,4,0.25
reward_hack_search_beta0p0_aggressive_up_lambda0p5,reward_hacking,1,4,0.25
reward_hack_search_beta0p0_aggressive_up_lambda0p5,stable_alignment,1,4,0.25
reward_hack_search_beta0p0_long_2000,mixed_or_ambiguous,1,1,1.0
