setting,family,model,stable_alignment,reward_hacking,optimization_collapse,proxy_under_alignment,conservative_stagnation,mixed_or_ambiguous,total_transitions,evaluator_gaming
beta=0.001 sampled / ppo,reward_hack_search_beta0p001_sampled,ppo,3,0,1,0,0,0,4,3
beta=0.005 / ppo,reward_hack_search_beta0p005,ppo,0,1,0,1,0,0,2,1
beta=0.01 / dpo,reward_hack_search_beta0p01,dpo,0,0,0,0,0,2,2,1
beta=0.01 / ppo,reward_hack_search_beta0p01,ppo,0,0,1,1,0,0,2,1
beta=0.01 / sft,reward_hack_search_beta0p01,sft,0,0,0,0,0,2,2,1
beta=0.03 / dpo,reward_hack_search_beta0p03,dpo,0,0,0,0,0,2,2,1
beta=0.03 / ppo,reward_hack_search_beta0p03,ppo,0,0,1,1,0,0,2,2
beta=0.03 / sft,reward_hack_search_beta0p03,sft,0,0,0,0,0,2,2,1
beta=0.0 aggressive / ppo,reward_hack_search_beta0p0_aggressive,ppo,1,1,0,2,0,0,4,2
beta=0.0 aggressive UP lambda=0.1 / ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1,ppo,2,1,1,0,0,0,4,0
beta=0.0 aggressive UP lambda=0.5 / ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5,ppo,1,1,1,1,0,0,4,1
beta=0.0 long / ppo,reward_hack_search_beta0p0_long_2000,ppo,0,0,0,0,0,1,1,0
